,acousticness,danceability,energy,instrumentalness,key,livenepathsss,loudness,mode,speechiness,tempo,time_signature
154,0.000359,0.448,0.875,0.00109,2,0.255,-5.446,0,0.0666,92.53,4
155,1.51e-05,0.496,0.984,0.514,7,0.0363,-3.447,1,0.0809,114.941,4
156,0.00061,0.475,0.866,0.00654,2,0.0807,-5.647,0,0.051,139.992,4
157,7.16e-05,0.428,0.972,0.0736,2,0.0787,-1.998,0,0.0666,118.306,4
158,6.24e-05,0.363,0.819,0.144,10,0.101,-7.146,1,0.043,164.75,4
159,9999.0,9999.0,9999.0,9999.0,9999,9999.0,9999.0,9999,9999.0,9999.0,9999
160,3.29e-05,0.264,0.982,0.0345,2,0.245,-5.774,1,0.0942,115.944,4
161,0.0229,0.712,0.902,0.0,0,0.0562,-4.204,1,0.218,85.991,4
162,0.000174,0.421,0.896,0.039,5,0.323,-5.696,0,0.103,174.065,4
163,0.0238,0.578,0.909,0.0,8,0.258,-3.798,1,0.2,74.985,4
164,9999.0,9999.0,9999.0,9999.0,9999,9999.0,9999.0,9999,9999.0,9999.0,9999
165,9999.0,9999.0,9999.0,9999.0,9999,9999.0,9999.0,9999,9999.0,9999.0,9999
166,0.00066,0.462,0.905,0.0402,0,0.0839,-3.825,0,0.0438,122.925,3
167,5.44e-06,0.438,0.98,0.046,1,0.0845,-4.204,1,0.179,107.505,4
168,0.0431,0.64,0.957,0.0,8,0.0789,-2.336,1,0.0741,134.992,4
169,0.00423,0.381,0.997,6.77e-06,2,0.0917,-3.033,0,0.213,127.91,4
170,6.28e-05,0.37,0.981,0.00225,5,0.331,-3.296,1,0.0633,155.177,4
171,1e-05,0.477,0.981,0.0226,6,0.125,-3.857,0,0.134,134.941,4
172,3.96e-05,0.342,0.926,0.683,7,0.186,-6.313,0,0.0939,147.313,4
173,0.000121,0.255,0.99,8.71e-05,2,0.351,-3.12,1,0.0927,195.853,4
174,0.00038,0.352,0.99,6.31e-06,1,0.0371,-4.276,1,0.165,195.911,4
175,0.000304,0.371,0.978,0.0,3,0.37,-4.188,1,0.0873,199.841,4
176,1.22e-05,0.294,0.986,0.541,0,0.118,-4.947,0,0.096,184.983,4
177,0.00023,0.416,0.931,0.106,11,0.321,-5.206,0,0.0473,160.043,4
178,0.000386,0.394,0.748,0.216,4,0.665,-9.845,0,0.0414,94.964,4
179,0.0294,0.445,0.885,0.0,2,0.673,-3.475,0,0.236,105.533,4
180,4.29e-06,0.495,0.967,0.235,6,0.106,-5.741,1,0.0686,114.044,4
181,7.72e-05,0.428,0.949,0.0112,7,0.206,-6.883,1,0.0584,89.71,4
182,7.26e-06,0.459,0.956,0.205,8,0.286,-2.996,1,0.0536,96.0,4
183,0.00118,0.212,0.969,0.000162,0,0.114,-3.664,0,0.123,91.523,4
184,0.000135,0.328,0.952,0.0279,2,0.287,-3.903,1,0.13,104.316,4
185,0.0012,0.345,0.974,3.03e-05,2,0.362,-3.221,0,0.0607,175.027,4
186,4.56e-06,0.439,0.985,0.0452,6,0.0917,-4.042,1,0.137,115.006,4
187,9999.0,9999.0,9999.0,9999.0,9999,9999.0,9999.0,9999,9999.0,9999.0,9999
188,1.99e-05,0.444,0.979,0.00112,7,0.425,-5.409,1,0.166,151.999,4
189,9999.0,9999.0,9999.0,9999.0,9999,9999.0,9999.0,9999,9999.0,9999.0,9999
190,0.000256,0.589,0.881,0.0,0,0.327,-4.62,1,0.0666,129.95,4
191,1.96e-05,0.471,0.986,0.785,8,0.147,-2.88,1,0.0575,100.03,4
192,6.25e-06,0.206,0.961,0.271,7,0.15,-6.011,0,0.0897,106.514,3
193,0.000108,0.574,0.925,0.0659,10,0.214,-5.423,0,0.0336,135.011,4
194,0.0346,0.368,0.871,0.0,2,0.0599,-3.395,0,0.106,84.585,4
195,0.00787,0.571,0.929,0.0,11,0.13,-2.627,0,0.0878,121.983,4
196,0.000181,0.355,0.988,5.28e-06,0,0.0423,-2.607,0,0.0886,102.108,4
197,1.52e-05,0.272,0.942,0.00218,6,0.619,-4.877,1,0.144,90.875,4
198,3.76e-05,0.49,0.975,0.427,7,0.487,-3.348,1,0.129,130.0,4
199,0.000299,0.507,0.953,0.000353,0,0.278,-3.217,1,0.0986,96.043,4
200,1.3e-05,0.162,0.965,0.00291,7,0.294,-4.29,1,0.206,182.038,4
201,0.000168,0.417,0.992,9.82e-05,7,0.319,-2.979,1,0.0876,98.22,4
202,5.26e-05,0.546,0.903,0.0801,5,0.192,-7.303,1,0.0509,125.034,4
203,3.79e-05,0.479,0.941,0.1,2,0.126,-6.283,0,0.0446,95.999,4
204,7.66e-06,0.462,0.983,0.652,7,0.348,-3.148,1,0.0577,100.024,4
205,0.0149,0.548,0.855,0.0,3,0.127,-3.266,1,0.151,145.133,4
206,0.000222,0.377,0.902,0.00555,0,0.397,-5.305,1,0.0776,156.123,4
207,3.87e-06,0.267,0.99,0.307,4,0.227,-3.137,0,0.0948,96.768,4
208,0.0907,0.729,0.908,0.0,8,0.279,-4.345,1,0.279,92.399,4
209,9999.0,9999.0,9999.0,9999.0,9999,9999.0,9999.0,9999,9999.0,9999.0,9999
210,0.0079,0.237,0.802,0.0,0,0.0875,-4.585,0,0.0607,169.968,4
211,0.000248,0.541,0.968,8.28e-06,0,0.423,-4.129,1,0.0396,125.04,4
212,0.000198,0.457,0.969,0.0,8,0.0853,-2.956,1,0.0876,98.114,4
213,9999.0,9999.0,9999.0,9999.0,9999,9999.0,9999.0,9999,9999.0,9999.0,9999
